ABDCQF01,ABDCQF02,ABDCQF03,ABDCQF04,BS,CALI,DRHO,DT,GR,NPHI,PEF,RACEHM,RACELM,RD,RHOB,RM,ROP,RPCEHM,RPCELM,RT,BVW,COAL_FLAG,KLOGH,PHIF,SAND_FLAG,SW,VCARB,VSH
2.2582,2.2528,2.2618,2.243,8.5,8.625,0.033,118.3544,284.1282,0.4608,7.1645,2.6399,2.4631,2.3764,2.2498,2.3274,18.7383,2.3274,2.3764,2.3274,,0.0,,,,,,1.1453
2.2454,2.2465,2.2567,2.2374,8.5,8.625,0.0263,118.5284,279.8032,0.4657,7.2493,2.6907,2.4857,2.3567,2.2437,2.285,18.8719,2.285,2.3567,2.285,,0.0,,,,,,1.1268
2.2269,2.2489,2.2509,2.2373,8.5,8.625,0.0201,118.6255,278.0695,0.4706,7.3676,2.6784,2.4686,2.4199,2.2406,2.3923,19.0057,2.3923,2.4199,2.3923,,0.0,,,,,,1.1195
2.2211,2.2623,2.2466,2.244,8.5,8.6016,0.0192,118.616,270.8896,0.4724,7.4372,2.6703,2.4758,2.4649,2.2443,2.5278,19.1593,2.5278,2.4649,2.5278,,0.0,,,,,,1.089
2.2443,2.2803,2.2435,2.2534,8.5,8.5781,0.025,118.4842,262.5709,0.4653,7.3955,2.65,2.4516,2.4914,2.2531,2.5981,19.3128,2.5981,2.4914,2.5981,,0.0,,,,,,1.0535
2.2896,2.2913,2.2398,2.2575,8.5,8.5781,0.0337,118.2559,259.2363,0.4564,7.2388,2.6246,2.4709,2.4758,2.261,2.564,19.4662,2.5639,2.4758,2.5639,,0.0,,,,,,1.0393
2.3232,2.2854,2.236,2.2523,8.5,8.625,0.0397,117.8923,260.1667,0.4479,7.0171,2.602,2.4624,2.4368,2.2611,2.481,19.5424,2.481,2.4368,2.481,,0.0,,,,,,1.0433
2.3182,2.2654,2.2344,2.2436,8.5,8.625,0.0397,117.5168,260.8581,0.444,6.8175,2.6108,2.4736,2.3723,2.2528,2.3596,19.6186,2.3596,2.3723,2.3596,,0.0,,,,,,1.0462
2.2828,2.2437,2.2365,2.2387,8.5,8.625,0.0367,117.1456,267.7353,0.4397,6.6993,2.5991,2.4811,2.3778,2.2431,2.3812,19.6947,2.3812,2.3778,2.3812,,0.0,,,,,,1.0755
2.245,2.2309,2.2422,2.2398,8.5,8.625,0.0341,116.7868,264.4479,0.4366,6.6723,2.5258,2.4531,2.3992,2.2381,2.466,19.7218,2.466,2.3992,2.466,,0.0,,,,,,1.0615
2.2249,2.2298,2.2503,2.2451,8.5,8.625,0.0328,116.5155,261.4126,0.4379,6.7203,2.5265,2.4644,2.3558,2.2397,2.3875,19.7488,2.3875,2.3558,2.3875,,0.0,,,,,,1.0486
2.2248,2.2349,2.2629,2.2535,8.5,8.625,0.0301,116.2848,259.7814,0.4442,6.8528,2.515,2.4538,2.3099,2.2477,2.2843,19.7759,2.2843,2.3099,2.2843,,0.0,,,,,,1.0416
2.2328,2.242,2.2845,2.2663,8.5,8.625,0.0238,116.1034,260.2023,0.449,7.1068,2.468,2.4507,2.2838,2.2623,2.255,19.7697,2.255,2.2838,2.255,,0.0,,,,,,1.0434
2.2437,2.2561,2.3163,2.2867,8.5,8.6016,0.0177,115.9465,264.2889,0.4471,7.4569,2.4238,2.4418,2.2792,2.2856,2.2523,19.7636,2.2523,2.2792,2.2523,,0.0,,,,,,1.0607
2.2606,2.287,2.3506,2.3163,8.5,8.6016,0.019,115.7967,272.311,0.4317,7.7745,2.3836,2.4302,2.2,2.3166,2.1613,19.7575,2.1613,2.2,2.1613,,0.0,,,,,,1.0949
2.295,2.3356,2.3716,2.3484,8.5,8.625,0.0311,115.6451,276.0265,0.42,7.8774,2.5768,2.5159,1.9406,2.3481,1.6705,19.7699,1.6704,1.9406,1.6704,,0.0,,,,,,1.1107
2.3516,2.3813,2.3665,2.3688,8.5,8.625,0.0495,115.3722,278.5343,0.4208,7.6869,2.8359,2.5554,1.8053,2.3681,1.3685,19.7823,1.3685,1.8053,1.3685,,0.0,,,,,,1.1215
2.4057,2.3967,2.3409,2.3655,8.5,8.625,0.0628,115.0819,270.2011,0.4335,7.3377,2.6181,2.5076,2.0152,2.3655,1.7218,19.7946,1.7218,2.0152,1.7218,,0.0,,,,,,1.0861
2.4235,2.3738,2.3116,2.3406,8.5,8.625,0.0649,114.9228,253.407,0.4495,7.0476,2.3179,2.4259,2.3304,2.3431,2.4373,19.7551,2.4373,2.3304,2.4373,,0.0,,,,,,1.0146
2.393,2.3281,2.2908,2.3087,8.5,8.625,0.0574,114.7654,245.8598,0.4601,6.9015,2.3952,2.4307,2.3,2.3128,2.2786,19.7156,2.2786,2.3,2.2786,,0.0,,,,,,0.9824
2.3376,2.2875,2.2805,2.2834,8.5,8.625,0.0475,114.6397,240.3389,0.4624,6.8573,2.4917,2.4564,2.1717,2.2872,2.0397,19.6762,2.0397,2.1717,2.0397,,0.0,,,,,,0.9589
2.2971,2.2674,2.2766,2.27,8.5,8.5781,0.0414,114.6969,236.1385,0.4629,6.8561,2.5228,2.4617,2.141,2.273,1.9894,19.7147,1.9894,2.141,1.9894,,0.0,,,,,,0.941
2.2827,2.2621,2.2755,2.2621,8.5,8.5781,0.0416,114.7541,234.8074,0.4636,6.8678,2.5348,2.4734,2.1576,2.2681,2.0092,19.7531,2.0092,2.1576,2.0092,,0.0,,,,,,0.9354
2.2813,2.2608,2.2754,2.2553,8.5,8.625,0.0457,114.8277,230.8342,0.4639,6.8606,2.509,2.4532,2.2048,2.2656,2.0978,19.7914,2.0978,2.2048,2.0978,,0.0,,,,,,0.9184
2.2775,2.2567,2.2723,2.2487,8.5,8.625,0.0499,115.0562,230.0185,0.4641,6.8001,2.5264,2.4846,2.2246,2.2607,2.1427,19.8089,2.1427,2.2246,2.1427,,0.0,,,,,,0.915
2.2653,2.2459,2.2638,2.2437,8.5,8.625,0.0506,115.1781,229.4196,0.4587,6.7026,2.4702,2.4729,2.3183,2.2519,2.348,19.8263,2.348,2.3183,2.348,,0.0,,,,,,0.9124
2.2489,2.2317,2.2535,2.2431,8.5,8.625,0.0475,115.2121,231.7625,0.4498,6.6386,2.4753,2.4747,2.3929,2.2426,2.4567,19.8438,2.4567,2.3929,2.4567,,0.0,,,,,,0.9224
2.2339,2.2225,2.2479,2.248,8.5,8.625,0.0431,115.0887,229.2785,0.4439,6.6515,2.5225,2.5005,2.358,2.238,2.3546,19.8402,2.3546,2.358,2.3546,,0.0,,,,,,0.9119
2.2255,2.2238,2.2491,2.2546,8.5,8.625,0.04,114.6743,223.6151,0.4434,6.7065,2.5947,2.5152,2.2774,2.2396,2.1797,19.8365,2.1797,2.2774,2.1797,,0.0,,,,,,0.8877
2.2257,2.2342,2.2535,2.2588,8.5,8.6016,0.0386,113.9931,223.2165,0.4457,6.7406,2.7246,2.5768,2.2346,2.2448,2.029,19.8329,2.029,2.2346,2.029,,0.0,,,,,,0.886
2.2328,2.2462,2.2567,2.2582,8.5,8.6016,0.0378,113.5303,223.6721,0.4408,6.7217,2.7092,2.5773,2.3464,2.2498,2.1925,19.8267,2.1925,2.3464,2.1925,,0.0,,,,,,0.888
2.2421,2.253,2.2569,2.2555,8.5,8.625,0.0372,112.7281,224.7712,0.4265,6.6692,2.67,2.6022,2.4689,2.2525,2.4627,19.8205,2.4627,2.4689,2.4627,,0.0,,,,,,0.8927
2.2502,2.2553,2.2559,2.2541,8.5,8.625,0.0377,111.5517,221.8362,0.4137,6.6048,2.7113,2.6058,2.4995,2.2538,2.463,19.8144,2.463,2.4995,2.463,,0.0,,,,,,0.8802
2.2578,2.2557,2.2548,2.2548,8.5,8.625,0.04,110.9494,217.0023,0.408,6.5164,2.7572,2.6121,2.4562,2.2548,2.3737,19.8101,2.3737,2.4562,2.3737,,0.0,,,,,,0.8596
2.266,2.255,2.2543,2.2555,8.5,8.625,0.0429,110.5275,216.9864,0.4127,6.4056,2.7362,2.6325,2.4396,2.2551,2.354,19.8058,2.354,2.4396,2.354,,0.0,,,,,,0.8595
2.2715,2.2518,2.2545,2.2547,8.5,8.6016,0.0441,110.3085,213.2299,0.4282,6.3252,2.7016,2.6243,2.4634,2.2542,2.3977,19.8015,2.3977,2.4634,2.3977,,0.0,,,,,,0.8435
2.2695,2.2469,2.2555,2.2549,8.5,8.5781,0.0431,110.58,211.6495,0.4437,6.3354,2.7516,2.6693,2.4331,2.2524,2.3266,19.8142,2.3266,2.4331,2.3266,,0.0,,,,,,0.8368
2.262,2.2454,2.2562,2.2588,8.5,8.5781,0.0416,110.7965,213.3879,0.4572,6.4319,2.8089,2.6617,2.4028,2.2516,2.2403,19.8268,2.2403,2.4028,2.2403,,0.0,,,,,,0.8442
2.2559,2.2505,2.2538,2.2657,8.5,8.5781,0.0412,110.8349,217.2335,0.4646,6.544,2.8322,2.6951,2.4022,2.252,2.2289,19.8394,2.2289,2.4022,2.2289,,0.0,,,,,,0.8605
2.2564,2.2607,2.2476,2.2715,8.5,8.5781,0.0419,110.4471,221.6148,0.4641,6.5997,2.768,2.7215,2.4824,2.253,2.4341,19.7955,2.4341,2.4824,2.4341,,0.0,,,,,,0.8792
